BEKLEYELIMMI BASKA BAR HAFTASONU ACMIYIZ MUSTERILER FIYAT YAGMUR RESERVASYON YEMEKTURU BEKLEMESURESI
EVET EVET HAYIR HAYIR EVET BIRAZ DDD HAYIR EVET FRANSIZ 0
HAYIR EVET HAYIR HAYIR EVET DOLU D HAYIR HAYIR TAYLAND 30
EVET HAYIR EVET HAYIR HAYIR BIRAZ D HAYIR HAYIR KEBAP 0
EVET EVET HAYIR EVET EVET DOLU D EVET HAYIR TAYLAND 10
HAYIR EVET HAYIR EVET HAYIR DOLU DDD HAYIR EVET FRANSIZ 60
EVET HAYIR EVET HAYIR EVET BIRAZ DD EVET EVET ITALYAN 0
HAYIR HAYIR EVET HAYIR HAYIR HIC D EVET HAYIR KEBAP 0
EVET HAYIR HAYIR HAYIR EVET BIRAZ DD EVET EVET TAYLAND 0
HAYIR HAYIR EVET EVET HAYIR DOLU D EVET HAYIR KEBAP 60
HAYIR EVET EVET EVET EVET DOLU DDD HAYIR EVET ITALYAN 10
HAYIR HAYIR HAYIR HAYIR HAYIR HIC D HAYIR HAYIR TAYLAND 0
EVET EVET EVET EVET EVET DOLU D HAYIR HAYIR KEBAP 30
