date,price
1985May,36.6383
1985Jun,35.4184
1985Jul,34.2709
1985Aug,33.8411
1985Sep,34.6826
1985Oct,33.4498
1985Nov,34.1048
1985Dec,29.5807
1986Jan,25.2609
1986Feb,16.8622
1986Mar,13.3181
1986Apr,12.5621
1986May,14.2754
1986Jun,12.2961
1986Jul,10.0871
1986Aug,13.5117
1986Sep,13.9921
1986Oct,13.6932
1986Nov,14.4211
1986Dec,15.3397
1987Jan,16.5182
1987Feb,15.2809
1987Mar,15.6204
1987Apr,15.5698
1987May,15.9458
1987Jun,16.4063
1987Jul,17.5500
1987Aug,17.0353
1987Sep,16.0591
1987Oct,16.3643
1987Nov,14.6527
1987Dec,13.4664
1988Jan,13.3266
1988Feb,13.1823
1988Mar,12.1130
1988Apr,13.3540
1988May,13.4537
1988Jun,13.2715
1988Jul,13.1959
1988Aug,13.5542
1988Sep,12.1240
1988Oct,10.9670
1988Nov,10.9201
1988Dec,12.5971
1989Jan,14.3176
1989Feb,14.2471
1989Mar,16.0926
1989Apr,17.1334
1989May,16.5866
1989Jun,16.3610
1989Jul,15.8494
1989Aug,15.5932
1989Sep,16.6387
1989Oct,16.8312
1989Nov,16.5044
1989Dec,16.5556
1990Jan,16.7469
1990Feb,15.9543
1990Mar,15.5888
1990Apr,14.3945
1990May,13.8889
1990Jun,12.9999
1990Jul,14.1022
1990Aug,19.6245
1990Sep,24.7658
1990Oct,25.9843
1990Nov,22.9635
1990Dec,19.6288
1991Jan,17.3363
1991Feb,13.3110
1991Mar,14.6359
1991Apr,15.8340
1991May,16.2415
1991Jun,15.9808
1991Jul,16.9726
1991Aug,16.8707
1991Sep,16.9230
1991Oct,18.1138
1991Nov,16.7716
1991Dec,14.0299
1992Jan,13.8220
1992Feb,14.2537
1992Mar,14.3985
1992Apr,15.2454
1992May,15.6683
1992Jun,16.1721
1992Jul,14.8679
1992Aug,14.1948
1992Sep,14.7056
1992Oct,15.3818
1992Nov,15.5000
1992Dec,14.7886
1993Jan,14.5630
1993Feb,15.5528
1993Mar,15.9781
1993Apr,15.5139
1993May,15.3603
1993Jun,15.0512
